2023-11-17 12:47:02,414 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 12:47:25,135 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [3] milliseconds
2023-11-17 12:47:25,138 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [2] milliseconds
2023-11-17 12:47:25,138 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,141 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [6] milliseconds
2023-11-17 12:47:25,142 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [13] milliseconds
2023-11-17 12:47:25,144 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,147 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,148 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-5005
2023-11-17 12:47:25,149 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,153 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,155 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,156 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [7] milliseconds
2023-11-17 12:47:25,156 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,161 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [3] milliseconds
2023-11-17 12:47:25,165 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [2] milliseconds
2023-11-17 12:47:25,165 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,168 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [6] milliseconds
2023-11-17 12:47:25,168 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [12] milliseconds
2023-11-17 12:47:25,171 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,174 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [3] milliseconds
2023-11-17 12:47:25,175 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,177 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-5005
2023-11-17 12:47:25,179 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,180 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,182 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [7] milliseconds
2023-11-17 12:47:25,182 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,186 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [2] milliseconds
2023-11-17 12:47:25,190 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,191 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [4] milliseconds
2023-11-17 12:47:25,194 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [7] milliseconds
2023-11-17 12:47:25,194 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [12] milliseconds
2023-11-17 12:47:25,197 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,198 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,200 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,205 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,207 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [6] milliseconds
2023-11-17 12:47:25,207 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,207 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-7000
2023-11-17 12:47:25,211 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [2] milliseconds
2023-11-17 12:47:25,214 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [1] milliseconds
2023-11-17 12:47:25,215 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,217 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [6] milliseconds
2023-11-17 12:47:25,218 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [10] milliseconds
2023-11-17 12:47:25,220 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,221 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,223 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,226 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,228 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,228 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [5] milliseconds
2023-11-17 12:47:25,228 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,233 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [3] milliseconds
2023-11-17 12:47:25,236 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-7000
2023-11-17 12:47:25,236 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [1] milliseconds
2023-11-17 12:47:25,237 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,239 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [6] milliseconds
2023-11-17 12:47:25,240 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [11] milliseconds
2023-11-17 12:47:25,242 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,243 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,245 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,247 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,249 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,249 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [4] milliseconds
2023-11-17 12:47:25,250 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,254 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [2] milliseconds
